"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","BREST-ubuntu",,,,"User:","abdallah"
"Cmdline:","dstat -t -cdmnl --output /home/abdallah/git/gitlab.uni.lu/aibrahim/presence/presence/cli/Tmp/campaigndstat.csv 1 181",,,,"Date:","30 Oct 2019 16:50:25 CET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",,"load avg",,
31-10 15:05:11,97.0,3.0,0.0,0.0,0.0,0.0,0.0,221184.0,3833466880.0,66379776.0,1314897920.0,3057635328.0,0.0,0.0,6.050,4.730,3.610
31-10 15:05:12,93.500,5.250,1.250,0.0,0.0,0.0,0.0,5492736.0,3160637440.0,66387968.0,1316360192.0,3728994304.0,0.0,0.0,6.050,4.730,3.610
31-10 15:05:13,92.695,3.778,3.023,0.504,0.0,0.0,0.0,73728.0,3254026240.0,66387968.0,1316364288.0,3635601408.0,0.0,0.0,6.050,4.730,3.610
31-10 15:05:14,95.511,1.746,2.494,0.249,0.0,0.0,0.0,225280.0,3364823040.0,66387968.0,1316368384.0,3524800512.0,0.0,0.0,6.050,4.730,3.610
31-10 15:05:15,98.241,1.256,0.503,0.0,0.0,0.0,0.0,32768.0,3400454144.0,66387968.0,1316368384.0,3489169408.0,134.0,0.0,5.880,4.720,3.610
31-10 15:05:16,98.254,1.746,0.0,0.0,0.0,0.0,0.0,20480.0,3401396224.0,66387968.0,1316261888.0,3488333824.0,0.0,0.0,5.880,4.720,3.610
31-10 15:05:17,97.750,2.0,0.250,0.0,0.0,0.0,0.0,401408.0,3452444672.0,66404352.0,1316253696.0,3437277184.0,0.0,0.0,5.880,4.720,3.610
31-10 15:05:18,98.496,1.504,0.0,0.0,0.0,0.0,0.0,45056.0,3473436672.0,66404352.0,1316319232.0,3416219648.0,0.0,0.0,5.880,4.720,3.610
31-10 15:05:19,97.243,1.504,1.253,0.0,0.0,0.0,0.0,167936.0,3534602240.0,66404352.0,1316368384.0,3355004928.0,0.0,0.0,5.880,4.720,3.610
31-10 15:05:20,93.467,1.256,5.025,0.251,0.0,0.0,0.0,45056.0,3569618944.0,66404352.0,1316364288.0,3319992320.0,134.0,0.0,6.210,4.810,3.650
31-10 15:05:21,98.0,1.750,0.250,0.0,0.0,0.0,0.0,24576.0,3670327296.0,66404352.0,1316372480.0,3219275776.0,0.0,0.0,6.210,4.810,3.650
31-10 15:05:22,98.0,1.750,0.250,0.0,0.0,0.0,0.0,258048.0,3809968128.0,66412544.0,1316368384.0,3079630848.0,0.0,0.0,6.210,4.810,3.650
31-10 15:05:23,97.250,2.750,0.0,0.0,0.0,0.0,0.0,2691072.0,3844284416.0,66412544.0,1316237312.0,3045445632.0,0.0,0.0,6.210,4.810,3.650
31-10 15:05:24,92.982,2.256,4.762,0.0,0.0,0.0,0.0,102400.0,3463757824.0,66412544.0,1316270080.0,3425939456.0,1676.0,0.0,6.210,4.810,3.650
31-10 15:05:25,95.190,1.772,2.785,0.253,0.0,0.0,0.0,573440.0,3467411456.0,66412544.0,1316548608.0,3422007296.0,632.0,0.0,6.120,4.810,3.650
31-10 15:05:26,82.323,1.768,15.404,0.505,0.0,0.0,0.0,286720.0,3585933312.0,66412544.0,1316425728.0,3303608320.0,1397.0,0.0,6.120,4.810,3.650
31-10 15:05:27,96.0,3.250,0.750,0.0,0.0,0.0,0.0,364544.0,3775569920.0,66428928.0,1313808384.0,3116572672.0,269.0,0.0,6.120,4.810,3.650
31-10 15:05:28,78.987,5.316,14.937,0.759,0.0,0.0,0.0,5496832.0,3008761856.0,66428928.0,1316265984.0,3880923136.0,122.0,0.0,6.120,4.810,3.650
31-10 15:05:29,44.862,0.752,51.629,2.757,0.0,0.0,0.0,4096.0,3062779904.0,66428928.0,1316380672.0,3826790400.0,90.0,0.0,6.120,4.810,3.650
31-10 15:05:30,63.980,0.756,34.509,0.756,0.0,0.0,0.0,0.0,3084226560.0,66428928.0,1316368384.0,3805356032.0,134.0,0.0,5.870,4.780,3.650
31-10 15:05:31,55.750,1.500,41.500,1.250,0.0,0.0,0.0,49152.0,3138547712.0,66428928.0,1316298752.0,3751104512.0,0.0,0.0,5.870,4.780,3.650
31-10 15:05:32,57.286,2.010,39.698,1.005,0.0,0.0,0.0,135168.0,3219869696.0,66437120.0,1316302848.0,3669770240.0,0.0,0.0,5.870,4.780,3.650
31-10 15:05:33,61.042,1.241,36.973,0.744,0.0,0.0,0.0,352256.0,3226664960.0,66445312.0,1316188160.0,3663081472.0,0.0,0.0,5.870,4.780,3.650
31-10 15:05:34,52.764,1.005,44.975,1.005,0.0,0.251,0.0,196608.0,3261042688.0,66445312.0,1316302848.0,3628589056.0,0.0,0.0,5.870,4.780,3.650
31-10 15:05:35,62.217,2.015,34.509,1.259,0.0,0.0,0.0,2736128.0,3014467584.0,66445312.0,1316167680.0,3875299328.0,198.0,64.0,5.480,4.720,3.640
31-10 15:05:36,40.750,1.750,56.250,1.250,0.0,0.0,0.0,32768.0,3061649408.0,66445312.0,1316302848.0,3827982336.0,0.0,0.0,5.480,4.720,3.640
31-10 15:05:37,65.404,1.010,32.071,1.515,0.0,0.0,0.0,204800.0,3079094272.0,66453504.0,1316298752.0,3810533376.0,0.0,0.0,5.480,4.720,3.640
31-10 15:05:38,56.784,1.256,40.452,1.508,0.0,0.0,0.0,24576.0,3139473408.0,66453504.0,1316302848.0,3750150144.0,0.0,0.0,5.480,4.720,3.640
31-10 15:05:39,56.250,1.500,41.250,1.0,0.0,0.0,0.0,98304.0,3213221888.0,66461696.0,1316294656.0,3676401664.0,0.0,0.0,5.480,4.720,3.640
31-10 15:05:40,58.853,0.748,39.651,0.748,0.0,0.0,0.0,262144.0,3218440192.0,66461696.0,1316196352.0,3671281664.0,134.0,0.0,5.280,4.690,3.630
31-10 15:05:41,59.950,2.015,37.531,0.504,0.0,0.0,0.0,204800.0,3349073920.0,66461696.0,1316302848.0,3540541440.0,0.0,0.0,5.280,4.690,3.630
31-10 15:05:42,53.030,2.020,43.434,1.515,0.0,0.0,0.0,2748416.0,3013726208.0,66461696.0,1316302848.0,3875889152.0,0.0,0.0,5.280,4.690,3.630
31-10 15:05:43,44.557,0.759,52.658,2.025,0.0,0.0,0.0,204800.0,3076669440.0,66469888.0,1316302848.0,3812937728.0,0.0,0.0,5.280,4.690,3.630
31-10 15:05:44,66.667,1.504,30.827,1.003,0.0,0.0,0.0,8192.0,3091525632.0,66469888.0,1316302848.0,3798081536.0,0.0,0.0,5.280,4.690,3.630
31-10 15:05:45,54.750,1.500,42.750,1.0,0.0,0.0,0.0,28672.0,3142291456.0,66469888.0,1316290560.0,3747328000.0,134.0,0.0,4.930,4.630,3.620
31-10 15:05:46,58.500,2.250,38.250,1.0,0.0,0.0,0.0,45056.0,3216162816.0,66469888.0,1316294656.0,3673452544.0,0.0,0.0,4.930,4.630,3.620
31-10 15:05:47,59.649,1.253,38.596,0.501,0.0,0.0,0.0,319488.0,3224875008.0,66478080.0,1316450304.0,3664576512.0,0.0,0.0,4.930,4.630,3.620
31-10 15:05:48,53.885,1.253,44.110,0.752,0.0,0.0,0.0,196608.0,3323437056.0,66478080.0,1316298752.0,3566166016.0,0.0,0.0,4.930,4.630,3.620
31-10 15:05:49,58.750,1.750,37.750,1.750,0.0,0.0,0.0,3289088.0,2986962944.0,66486272.0,1316339712.0,3902590976.0,0.0,0.0,4.930,4.630,3.620
31-10 15:05:50,41.058,1.008,55.919,2.015,0.0,0.0,0.0,0.0,3072475136.0,66486272.0,1316306944.0,3817111552.0,134.0,0.0,4.700,4.590,3.610
31-10 15:05:51,62.189,1.493,35.075,1.244,0.0,0.0,0.0,0.0,3090214912.0,66486272.0,1316311040.0,3799367680.0,0.0,0.0,4.700,4.590,3.610
31-10 15:05:52,55.721,1.741,41.542,0.995,0.0,0.0,0.0,24576.0,3143045120.0,66486272.0,1316306944.0,3746541568.0,0.0,0.0,4.700,4.590,3.610
31-10 15:05:53,54.660,1.511,42.821,1.008,0.0,0.0,0.0,36864.0,3224596480.0,66486272.0,1316311040.0,3664986112.0,0.0,0.0,4.700,4.590,3.610
31-10 15:05:54,70.352,1.759,26.884,1.005,0.0,0.0,0.0,421888.0,3256881152.0,66494464.0,1316204544.0,3632799744.0,122.0,0.0,4.700,4.590,3.610
31-10 15:05:55,85.0,2.250,12.250,0.500,0.0,0.0,0.0,270336.0,3361099776.0,66502656.0,1316339712.0,3528437760.0,134.0,0.0,4.720,4.590,3.620
31-10 15:05:56,97.0,2.750,0.250,0.0,0.0,0.0,0.0,20480.0,3512037376.0,66502656.0,1316376576.0,3377463296.0,0.0,0.0,4.720,4.590,3.620
31-10 15:05:57,95.739,3.759,0.501,0.0,0.0,0.0,0.0,2682880.0,3594690560.0,66502656.0,1316335616.0,3294851072.0,110.0,0.0,4.720,4.590,3.620
31-10 15:05:58,95.522,3.234,0.995,0.249,0.0,0.0,0.0,65536.0,3195678720.0,66502656.0,1316376576.0,3693821952.0,240.0,0.0,4.720,4.590,3.620
31-10 15:05:59,97.995,2.005,0.0,0.0,0.0,0.0,0.0,237568.0,3243028480.0,66510848.0,1316368384.0,3646472192.0,330.0,0.0,4.720,4.590,3.620
31-10 15:06:00,98.250,1.500,0.0,0.0,0.0,0.250,8192.0,86016.0,3289919488.0,66519040.0,1316601856.0,3599339520.0,134.0,0.0,4.750,4.600,3.620
31-10 15:06:01,98.747,1.253,0.0,0.0,0.0,0.0,0.0,0.0,3339554816.0,66519040.0,1316536320.0,3549769728.0,0.0,0.0,4.750,4.600,3.620
31-10 15:06:02,97.739,1.508,0.754,0.0,0.0,0.0,0.0,8192.0,3374141440.0,66519040.0,1316409344.0,3515310080.0,0.0,0.0,4.750,4.600,3.620
31-10 15:06:03,97.744,1.754,0.501,0.0,0.0,0.0,0.0,49152.0,3464335360.0,66519040.0,1316364288.0,3425161216.0,240.0,0.0,4.750,4.600,3.620
31-10 15:06:04,97.756,2.244,0.0,0.0,0.0,0.0,0.0,12288.0,3555917824.0,66519040.0,1316270080.0,3333672960.0,414.0,64.0,4.750,4.600,3.620
31-10 15:06:05,97.756,1.496,0.748,0.0,0.0,0.0,0.0,307200.0,3591921664.0,66527232.0,1316257792.0,3297673216.0,134.0,0.0,5.250,4.710,3.660
31-10 15:06:06,98.500,1.0,0.500,0.0,0.0,0.0,0.0,151552.0,3613011968.0,66527232.0,1316270080.0,3276570624.0,0.0,0.0,5.250,4.710,3.660
31-10 15:06:07,96.231,1.759,2.010,0.0,0.0,0.0,0.0,237568.0,3719225344.0,66535424.0,1316368384.0,3170250752.0,0.0,0.0,5.250,4.710,3.660
31-10 15:06:08,98.492,1.005,0.503,0.0,0.0,0.0,0.0,282624.0,3742998528.0,66535424.0,1316376576.0,3146469376.0,0.0,0.0,5.250,4.710,3.660
31-10 15:06:09,95.750,2.250,2.0,0.0,0.0,0.0,0.0,208896.0,3827458048.0,66535424.0,1316376576.0,3062009856.0,240.0,0.0,5.250,4.710,3.660
31-10 15:06:10,94.975,4.271,0.754,0.0,0.0,0.0,0.0,446464.0,3903922176.0,66543616.0,1314684928.0,2987229184.0,484.0,0.0,5.070,4.680,3.660
31-10 15:06:11,95.750,3.250,1.0,0.0,0.0,0.0,0.0,2846720.0,3630002176.0,66543616.0,1316376576.0,3259457536.0,0.0,0.0,5.070,4.680,3.660
31-10 15:06:12,66.416,5.514,27.068,0.752,0.0,0.251,4096.0,184320.0,3223277568.0,66543616.0,1316360192.0,3666198528.0,0.0,0.0,5.070,4.680,3.660


"Host:","BREST-ubuntu",,,,"User:","abdallah"
"Cmdline:","dstat -t -cdmnl --output /home/abdallah/git/gitlab.uni.lu/aibrahim/presence/presence/cli/Tmp/campaigndstat.csv 1 4127",,,,"Date:","31 Oct 2019 15:22:45 CET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send","1m","5m","15m"
31-10 15:22:45,21.653,4.168,69.156,5.002,0.0,0.021,49601.135,93048.631,2999799808.0,68063232.0,1317851136.0,3886665728.0,0.0,0.0,0.280,0.300,1.310
31-10 15:22:46,2.005,1.003,95.489,1.504,0.0,0.0,0.0,0.0,3002974208.0,68063232.0,1317879808.0,3883462656.0,0.0,0.0,0.260,0.290,1.300
31-10 15:22:47,41.353,1.253,54.135,3.258,0.0,0.0,24576.0,176128.0,3079172096.0,68063232.0,1318014976.0,3807129600.0,0.0,0.0,0.260,0.290,1.300
31-10 15:22:48,65.0,1.250,33.0,0.750,0.0,0.0,0.0,0.0,3105562624.0,68063232.0,1317941248.0,3780812800.0,0.0,0.0,0.260,0.290,1.300
31-10 15:22:49,56.965,1.244,41.045,0.746,0.0,0.0,0.0,24576.0,3155369984.0,68063232.0,1317871616.0,3731075072.0,0.0,0.0,0.260,0.290,1.300
31-10 15:22:50,56.784,1.508,40.201,1.508,0.0,0.0,0.0,94208.0,3232624640.0,68071424.0,1317863424.0,3653820416.0,134.0,0.0,0.260,0.290,1.300
31-10 15:22:51,57.538,0.754,39.950,1.759,0.0,0.0,0.0,438272.0,3234226176.0,68079616.0,1317773312.0,3652300800.0,0.0,0.0,0.560,0.350,1.320
31-10 15:22:52,50.750,1.250,47.500,0.500,0.0,0.0,0.0,208896.0,3355455488.0,68079616.0,1317875712.0,3530969088.0,0.0,0.0,0.560,0.350,1.320
31-10 15:22:53,49.750,6.750,42.0,1.500,0.0,0.0,0.0,2748416.0,2985111552.0,68079616.0,1320484864.0,3898703872.0,0.0,0.0,0.560,0.350,1.320


"Host:","BREST-ubuntu",,,,"User:","abdallah"
"Cmdline:","dstat -t -cdmnl --output /home/abdallah/git/gitlab.uni.lu/aibrahim/presence/presence/cli/Tmp/campaigndstat.csv 1 4564",,,,"Date:","31 Oct 2019 15:29:11 CET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send","1m","5m","15m"
31-10 15:29:11,21.409,4.123,69.488,4.960,0.0,0.021,49505.330,94203.216,3010813952.0,68648960.0,1335508992.0,3857408000.0,0.0,0.0,0.370,0.300,0.960
31-10 15:29:12,39.152,1.247,58.354,1.247,0.0,0.0,0.0,0.0,3083579392.0,68648960.0,1335541760.0,3784609792.0,0.0,0.0,0.580,0.340,0.970
31-10 15:29:13,69.270,1.511,27.204,2.015,0.0,0.0,0.0,0.0,3108904960.0,68648960.0,1335631872.0,3759194112.0,0.0,0.0,0.580,0.340,0.970
31-10 15:29:14,53.133,1.003,44.612,1.253,0.0,0.0,0.0,110592.0,3160883200.0,68657152.0,1335558144.0,3707281408.0,0.0,0.0,0.580,0.340,0.970
31-10 15:29:15,57.179,1.763,40.050,1.008,0.0,0.0,0.0,45056.0,3238055936.0,68657152.0,1335459840.0,3630206976.0,685.0,0.0,0.580,0.340,0.970
31-10 15:29:16,63.092,0.998,34.663,1.247,0.0,0.0,0.0,471040.0,3243225088.0,68665344.0,1335566336.0,3624923136.0,740.0,0.0,0.580,0.340,0.970
31-10 15:29:17,56.0,1.750,41.250,1.0,0.0,0.0,0.0,204800.0,3405688832.0,68665344.0,1335554048.0,3462471680.0,122.0,0.0,0.620,0.350,0.970
31-10 15:29:18,53.401,6.045,38.791,1.763,0.0,0.0,0.0,2748416.0,3058028544.0,68665344.0,1341145088.0,3804540928.0,606.0,0.0,0.620,0.350,0.970
31-10 15:29:19,69.674,2.757,26.316,1.253,0.0,0.0,0.0,16384.0,3110977536.0,68665344.0,1379340288.0,3713396736.0,0.0,0.0,0.620,0.350,0.970
31-10 15:29:20,89.950,2.010,8.040,0.0,0.0,0.0,0.0,94208.0,3150438400.0,68673536.0,1413931008.0,3639336960.0,276.0,0.0,0.620,0.350,0.970
31-10 15:29:21,76.190,2.506,20.802,0.501,0.0,0.0,0.0,24576.0,3199401984.0,68673536.0,1433088000.0,3571216384.0,134.0,0.0,0.620,0.350,0.970
31-10 15:29:22,92.424,2.273,5.051,0.253,0.0,0.0,0.0,212992.0,3312037888.0,68681728.0,1466970112.0,3424690176.0,90.0,0.0,1.050,0.450,1.0
31-10 15:29:23,94.710,1.763,3.526,0.0,0.0,0.0,0.0,4096.0,3358310400.0,68681728.0,1500123136.0,3345264640.0,0.0,0.0,1.050,0.450,1.0
31-10 15:29:24,95.990,1.504,1.754,0.752,0.0,0.0,0.0,17580032.0,3370373120.0,68681728.0,1532092416.0,3301232640.0,122.0,0.0,1.050,0.450,1.0
31-10 15:29:25,96.992,2.506,0.251,0.0,0.0,0.251,4096.0,34209792.0,3405099008.0,68694016.0,1562365952.0,3236220928.0,0.0,0.0,1.050,0.450,1.0
31-10 15:29:26,82.836,2.985,7.960,5.970,0.0,0.249,12288.0,76546048.0,3523497984.0,68710400.0,1569742848.0,3110428672.0,134.0,0.0,1.050,0.450,1.0
31-10 15:29:27,70.025,1.259,10.327,18.136,0.0,0.252,4096.0,71704576.0,3633393664.0,68722688.0,1569751040.0,3000512512.0,91.0,0.0,1.690,0.590,1.040
31-10 15:29:28,85.678,5.528,7.035,1.508,0.0,0.251,0.0,56905728.0,3268943872.0,68730880.0,1317392384.0,3617312768.0,0.0,0.0,1.690,0.590,1.040
31-10 15:29:29,87.310,1.523,10.660,0.508,0.0,0.0,0.0,249856.0,3331186688.0,68730880.0,1317502976.0,3554959360.0,186.0,64.0,1.690,0.590,1.040
31-10 15:29:30,85.570,1.772,12.152,0.506,0.0,0.0,0.0,180224.0,3424116736.0,68730880.0,1317531648.0,3462000640.0,0.0,0.0,1.690,0.590,1.040
31-10 15:29:31,97.236,2.261,0.503,0.0,0.0,0.0,0.0,36864.0,3504295936.0,68730880.0,1317343232.0,3382009856.0,134.0,0.0,1.690,0.590,1.040
31-10 15:29:32,95.489,3.258,1.253,0.0,0.0,0.0,0.0,2912256.0,3197546496.0,68739072.0,1317376000.0,3688718336.0,0.0,0.0,2.030,0.680,1.070
31-10 15:29:33,91.582,2.296,6.122,0.0,0.0,0.0,0.0,172032.0,3291156480.0,68751360.0,1317363712.0,3595108352.0,122.0,0.0,2.030,0.680,1.070
31-10 15:29:34,97.250,1.500,1.250,0.0,0.0,0.0,0.0,16384.0,3389800448.0,68751360.0,1317371904.0,3496456192.0,0.0,0.0,2.030,0.680,1.070
31-10 15:29:35,97.250,2.750,0.0,0.0,0.0,0.0,0.0,32768.0,3458519040.0,68751360.0,1317273600.0,3427835904.0,0.0,0.0,2.030,0.680,1.070
31-10 15:29:36,97.750,1.500,0.750,0.0,0.0,0.0,0.0,16384.0,3477835776.0,68751360.0,1317269504.0,3408523264.0,134.0,0.0,2.030,0.680,1.070
31-10 15:29:37,98.0,1.750,0.250,0.0,0.0,0.0,0.0,364544.0,3508449280.0,68759552.0,1317273600.0,3377897472.0,0.0,0.0,2.430,0.780,1.100
31-10 15:29:38,97.744,2.005,0.251,0.0,0.0,0.0,0.0,212992.0,3611480064.0,68759552.0,1317367808.0,3274772480.0,0.0,0.0,2.430,0.780,1.100
31-10 15:29:39,97.494,2.005,0.501,0.0,0.0,0.0,0.0,61440.0,3653251072.0,68759552.0,1317273600.0,3233095680.0,0.0,0.0,2.430,0.780,1.100
31-10 15:29:40,97.250,2.250,0.500,0.0,0.0,0.0,0.0,53248.0,3807748096.0,68759552.0,1317265408.0,3078606848.0,0.0,0.0,2.430,0.780,1.100
31-10 15:29:41,95.990,4.010,0.0,0.0,0.0,0.0,0.0,2891776.0,3891576832.0,68767744.0,1317208064.0,2994827264.0,134.0,0.0,2.430,0.780,1.100
31-10 15:29:42,95.990,2.005,2.005,0.0,0.0,0.0,0.0,520192.0,3518840832.0,68775936.0,1317310464.0,3367452672.0,406.0,0.0,2.880,0.900,1.140
31-10 15:29:43,95.739,2.256,1.754,0.251,0.0,0.0,0.0,356352.0,3651837952.0,68775936.0,1317310464.0,3234455552.0,0.0,0.0,2.880,0.900,1.140
31-10 15:29:44,93.734,3.759,2.506,0.0,0.0,0.0,0.0,172032.0,3383332864.0,68775936.0,1317298176.0,3502972928.0,0.0,0.0,2.880,0.900,1.140
31-10 15:29:45,96.742,1.504,1.504,0.251,0.0,0.0,0.0,57344.0,3532509184.0,68775936.0,1317314560.0,3353780224.0,0.0,0.0,2.880,0.900,1.140
31-10 15:29:46,97.0,2.0,1.0,0.0,0.0,0.0,0.0,2682880.0,3647733760.0,68775936.0,1317314560.0,3238555648.0,134.0,0.0,2.880,0.900,1.140
31-10 15:29:47,95.990,2.506,1.504,0.0,0.0,0.0,0.0,335872.0,3272089600.0,68792320.0,1317289984.0,3614208000.0,0.0,0.0,3.290,1.020,1.180
31-10 15:29:48,97.744,1.754,0.501,0.0,0.0,0.0,0.0,8192.0,3415674880.0,68792320.0,1317294080.0,3470618624.0,0.0,0.0,3.290,1.020,1.180
31-10 15:29:49,94.987,2.256,2.757,0.0,0.0,0.0,0.0,53248.0,3458637824.0,68792320.0,1317289984.0,3427659776.0,0.0,0.0,3.290,1.020,1.180
31-10 15:29:50,98.250,1.750,0.0,0.0,0.0,0.0,0.0,8192.0,3525550080.0,68792320.0,1317187584.0,3360849920.0,0.0,0.0,3.290,1.020,1.180
31-10 15:29:51,98.0,1.750,0.250,0.0,0.0,0.0,0.0,53248.0,3569901568.0,68792320.0,1317187584.0,3316498432.0,134.0,0.0,3.290,1.020,1.180
31-10 15:29:52,97.995,2.005,0.0,0.0,0.0,0.0,0.0,385024.0,3603550208.0,68800512.0,1317191680.0,3282837504.0,90.0,0.0,3.740,1.150,1.220
31-10 15:29:53,97.500,2.0,0.500,0.0,0.0,0.0,0.0,225280.0,3647864832.0,68808704.0,1317285888.0,3238420480.0,0.0,0.0,3.740,1.150,1.220
31-10 15:29:54,97.250,1.500,1.250,0.0,0.0,0.0,0.0,348160.0,3741188096.0,68808704.0,1317294080.0,3145089024.0,0.0,0.0,3.740,1.150,1.220
31-10 15:29:55,96.241,3.258,0.501,0.0,0.0,0.0,0.0,266240.0,3874324480.0,68808704.0,1317281792.0,3011964928.0,0.0,0.0,3.740,1.150,1.220
31-10 15:29:56,93.484,6.015,0.501,0.0,0.0,0.0,0.0,2727936.0,4041277440.0,68808704.0,1317183488.0,2845110272.0,134.0,0.0,3.740,1.150,1.220
31-10 15:29:57,95.477,2.764,1.508,0.251,0.0,0.0,0.0,471040.0,3632721920.0,68816896.0,1314537472.0,3256303616.0,0.0,0.0,3.850,1.220,1.240
31-10 15:29:58,85.572,5.224,8.209,0.995,0.0,0.0,241664.0,2985984.0,3275874304.0,68816896.0,1317597184.0,3610091520.0,122.0,0.0,3.850,1.220,1.240


"Host:","BREST-ubuntu",,,,"User:","abdallah"
"Cmdline:","dstat -t -cdmnl --output /home/abdallah/git/gitlab.uni.lu/aibrahim/presence/presence/cli/Tmp/campaigndstat.csv 1 1793",,,,"Date:","31 Oct 2019 15:45:26 CET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send","1m","5m","15m"
31-10 15:45:26,20.933,4.019,70.172,4.856,0.0,0.020,49311.355,96612.889,3019165696.0,70926336.0,1324769280.0,3857518592.0,0.0,0.0,0.260,0.270,0.600
31-10 15:45:27,0.251,1.005,96.985,1.759,0.0,0.0,0.0,0.0,3019509760.0,70926336.0,1324785664.0,3857158144.0,91.0,0.0,0.240,0.270,0.600
31-10 15:45:28,2.532,0.506,94.177,2.785,0.0,0.0,0.0,0.0,3019669504.0,70926336.0,1324879872.0,3856904192.0,0.0,0.0,0.240,0.270,0.600
31-10 15:45:29,0.752,1.003,96.491,1.754,0.0,0.0,0.0,0.0,3019874304.0,70926336.0,1324879872.0,3856699392.0,90.0,0.0,0.240,0.270,0.600
31-10 15:45:30,1.259,1.008,96.474,1.259,0.0,0.0,0.0,90112.0,3020193792.0,70934528.0,1324806144.0,3856445440.0,134.0,0.0,0.240,0.270,0.600
31-10 15:45:31,1.508,0.503,96.482,1.508,0.0,0.0,0.0,69632.0,3022376960.0,70942720.0,1305473024.0,3873587200.0,0.0,0.0,0.240,0.270,0.600
31-10 15:45:32,39.599,2.005,56.642,1.754,0.0,0.0,0.0,24576.0,3098079232.0,70942720.0,1305260032.0,3798097920.0,580.0,0.0,0.300,0.280,0.600
31-10 15:45:33,66.165,1.253,31.830,0.752,0.0,0.0,0.0,4096.0,3124547584.0,70942720.0,1305260032.0,3771629568.0,700.0,0.0,0.300,0.280,0.600
31-10 15:45:34,58.586,1.263,39.394,0.758,0.0,0.0,0.0,24576.0,3176816640.0,70942720.0,1305260032.0,3719360512.0,0.0,0.0,0.300,0.280,0.600
31-10 15:45:35,57.614,1.523,39.594,1.269,0.0,0.0,0.0,49152.0,3259203584.0,70942720.0,1305260032.0,3636973568.0,134.0,0.0,0.300,0.280,0.600
31-10 15:45:36,60.250,0.500,38.500,0.750,0.0,0.0,0.0,364544.0,3262578688.0,70950912.0,1305378816.0,3633471488.0,0.0,0.0,0.300,0.280,0.600
31-10 15:45:37,54.271,2.261,42.211,1.256,0.0,0.0,0.0,389120.0,3368181760.0,70959104.0,1305260032.0,3527979008.0,64.0,64.0,0.350,0.290,0.600
31-10 15:45:38,50.124,6.203,41.687,1.985,0.0,0.0,4096.0,2748416.0,3061149696.0,70963200.0,1309376512.0,3830890496.0,0.0,0.0,0.350,0.290,0.600
31-10 15:45:39,87.437,4.271,7.789,0.503,0.0,0.0,0.0,0.0,3181608960.0,70963200.0,1342525440.0,3677282304.0,0.0,0.0,0.350,0.290,0.600
31-10 15:45:40,94.987,2.256,2.506,0.251,0.0,0.0,0.0,0.0,3220553728.0,70963200.0,1373560832.0,3607302144.0,134.0,0.0,0.350,0.290,0.600
31-10 15:45:41,97.506,1.995,0.499,0.0,0.0,0.0,0.0,0.0,3250319360.0,70963200.0,1405333504.0,3545763840.0,0.0,0.0,0.350,0.290,0.600
31-10 15:45:42,96.482,2.764,0.754,0.0,0.0,0.0,0.0,200704.0,3277901824.0,70971392.0,1436680192.0,3486826496.0,0.0,0.0,0.890,0.400,0.640
31-10 15:45:43,95.739,2.256,1.754,0.251,0.0,0.0,0.0,720896.0,3347316736.0,70979584.0,1469132800.0,3384950784.0,91.0,0.0,0.890,0.400,0.640
31-10 15:45:44,95.477,2.764,1.759,0.0,0.0,0.0,0.0,28672.0,3411193856.0,70979584.0,1501315072.0,3288891392.0,0.0,0.0,0.890,0.400,0.640
31-10 15:45:45,97.500,1.750,0.750,0.0,0.0,0.0,0.0,34164736.0,3498598400.0,70979584.0,1533079552.0,3169722368.0,256.0,0.0,0.890,0.400,0.640
31-10 15:45:46,95.250,4.0,0.500,0.0,0.0,0.250,4096.0,50470912.0,3572928512.0,70983680.0,1557061632.0,3071406080.0,0.0,0.0,0.890,0.400,0.640
31-10 15:45:47,94.962,2.267,1.259,1.008,0.0,0.504,4096.0,93323264.0,3607027712.0,70991872.0,1557442560.0,3036917760.0,0.0,0.0,1.460,0.530,0.680
31-10 15:45:48,78.141,1.508,0.0,20.101,0.0,0.251,0.0,75714560.0,3632308224.0,71008256.0,1557274624.0,3011788800.0,0.0,0.0,1.460,0.530,0.680
31-10 15:45:49,94.236,5.263,0.501,0.0,0.0,0.0,0.0,471040.0,3710812160.0,71008256.0,1305051136.0,3185508352.0,722.0,0.0,1.460,0.530,0.680
31-10 15:45:50,94.221,4.774,1.005,0.0,0.0,0.0,0.0,262144.0,3812872192.0,71008256.0,1305051136.0,3083448320.0,134.0,0.0,1.460,0.530,0.680
